seg: 6.746468107094764 ms, 1.239493136662704 ms
seg: 7.7550780282640455 ms, 1.226452038462794 ms
seg: 17.052982705402375 ms, 1.0163634887533 ms
seg: 23.278163913211824 ms, 1.0404146126536113 ms
seg: 30.36025436903 ms, 1.0824922504176613 ms
seg: 37.615197183036805 ms, 1.0179400840760322 ms
depth: 6.487024245519638 ms, 1.064247158508353 ms
depth: 7.310399358768463 ms, 1.1486758515039208 ms
depth: 16.61633310931206 ms, 1.0485598657243866 ms
depth: 22.81340754611969 ms, 1.0227844285744228 ms
depth: 29.960792057704925 ms, 1.02530460982607 ms
depth: 37.35364972446442 ms, 1.059465304008548 ms
segdepth: 7.147410823168754 ms, 1.0902629011415494 ms
segdepth: 9.201192550773621 ms, 1.1715013444369549 ms
segdepth: 22.96192914178848 ms, 1.015495773134536 ms
segdepth: 29.178321813964843 ms, 1.0087631185729615 ms
segdepth: 36.3605219793129 ms, 1.0193004427436148 ms
segdepth: 41.84674545814514 ms, 1.154908298198881 ms
